pub_date,title,section,web_url,trail_text,body_text,source,event,era,origin_file,text_for_analysis,text_length,has_full_text,likely_relevant,vader_compound,vader_pos,vader_neg,vader_neu,tb_polarity,tb_subjectivity
,Facebook’s outage frustrates advertisers heading into the holiday season.,Business Day,https://www.nytimes.com/2021/10/05/business/media/facebook-outage-advertisers.html,"“There may be heads on pikes by the end of this,” one agency executive said.","“There may be heads on pikes by the end of this,” one agency executive said. For more than five hours on Monday, while Facebook and Instagram were dark, David Herrmann fretted about ads.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"“There may be heads on pikes by the end of this,” one agency executive said. For more than five hours on Monday, while Facebook and Instagram were dark, David Herrmann fretted about ads.",186,False,True,-0.0516,0.214,0.23,0.556,0.0,0.0
,Facebook says its outage was caused by a cascade of errors.,Technology,https://www.nytimes.com/2021/10/05/technology/facebook-outage-cause.html,"For more than five hours, the company’s family of apps, including Instagram and WhatsApp, were unavailable to the billions who use them.","For more than five hours, the company’s family of apps, including Instagram and WhatsApp, were unavailable to the billions who use them. A cascade of mistakes made during maintenance on Facebook’s network caused the outage that took its services offline Monday, the company said in a blog post published on Tuesday.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"For more than five hours, the company’s family of apps, including Instagram and WhatsApp, were unavailable to the billions who use them. A cascade of mistakes made during maintenance on Facebook’s network caused the outage that took its services offline Monday, the company said in a blog post published on Tuesday.",315,True,True,-0.34,0.0,0.194,0.806,0.0,0.0
,Facebook Was Down for a Few Hours. Should It Go Away Forever?,Opinion,https://www.nytimes.com/2021/10/05/opinion/facebook-whatsapp-instagram.html,Leaked internal documents show that the world’s dependency on Facebook and its family of apps comes at a great cost.,Leaked internal documents show that the world’s dependency on Facebook and its family of apps comes at a great cost. This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,Leaked internal documents show that the world’s dependency on Facebook and its family of apps comes at a great cost. This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,228,True,True,0.0,0.0,0.0,1.0,-0.17777777777777778,0.19444444444444448
,Facebook Outage,The Learning Network,https://www.nytimes.com/2021/10/06/learning/facebook-outage.html,"How were you and the people you know affected when Facebook, Instagram and WhatsApp were inaccessible for hours this week?","How were you and the people you know affected when Facebook, Instagram and WhatsApp were inaccessible for hours this week? “Facebook and its family of apps, including Instagram and WhatsApp, were inaccessible for hours on Monday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny,” writes The Times.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"How were you and the people you know affected when Facebook, Instagram and WhatsApp were inaccessible for hours this week? “Facebook and its family of apps, including Instagram and WhatsApp, were inaccessible for hours on Monday, taking out a vital communications platform used by billions and showcasing just how dependent the world has become on a company that is under intense scrutiny,” writes The Times.",408,True,True,0.0,0.0,0.0,1.0,0.0,0.0
,Seth Meyers Breaks Down Facebook’s Very Bad Week,Arts,https://www.nytimes.com/2021/10/07/arts/television/seth-meyers-facebook-whistleblower.html,"“It’s the kind of week you normally post about on Facebook,” Meyers said on Wednesday night.","“It’s the kind of week you normally post about on Facebook,” Meyers said on Wednesday night. Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"“It’s the kind of week you normally post about on Facebook,” Meyers said on Wednesday night. Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",278,True,True,-0.5849,0.0,0.351,0.649,-0.5327777777777777,0.5777777777777778
,Facebook and its apps suffer another outage.,Technology,https://www.nytimes.com/2021/10/08/technology/facebook-whatsapp-instagram-down.html,"All of Facebook’s main products — Instagram, WhatsApp, Messenger and the “big blue app” of Facebook — were inaccessible to at least some users around 3 p.m. Eastern time.","All of Facebook’s main products — Instagram, WhatsApp, Messenger and the “big blue app” of Facebook — were inaccessible to at least some users around 3 p.m. Eastern time. SAN FRANCISCO — Facebook and its family of apps were inaccessible for about two hours on Friday afternoon, the second time in a week that the social network experienced widespread problems with its services.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"All of Facebook’s main products — Instagram, WhatsApp, Messenger and the “big blue app” of Facebook — were inaccessible to at least some users around 3 p.m. Eastern time. SAN FRANCISCO — Facebook and its family of apps were inaccessible for about two hours on Friday afternoon, the second time in a week that the social network experienced widespread problems with its services.",378,True,True,-0.5423,0.0,0.368,0.632,0.0,0.0
,The Week in Business: Facebook’s Rough Stretch,Business Day,https://www.nytimes.com/2021/10/10/business/the-week-in-business-facebook-outage-whistleblower.html,Facebook faced both an outage and a whistle-blower. Lawmakers reached a compromise on raising the debt ceiling. And the latest number on inflation is coming this week.,"Facebook faced both an outage and a whistle-blower. Lawmakers reached a compromise on raising the debt ceiling. And the latest number on inflation is coming this week. Facebook had a tough week. On Monday, the company’s family of apps, including Instagram, WhatsApp and Messenger, went down for more than five hours, disrupting communication for the billions of people and many advertisers who rely on them. (The company said several errors made during maintenance caused the outage). In an interview on “60 Minutes” on Sunday and in testimony at a Senate hearing on Tuesday, Frances Haugen, a former product manager at the company, talked about what she believes is a need for more oversight of the social media giant. Ms. Haugen said that Facebook had purposefully hidden research showing its products’ negative impact on teenagers and was willing to promote harmful content because it caused users to spend more time on the site. She has also spoken with top policymakers in Brussels, Britain and France. Mark Zuckerberg, Facebook’s chief executive, rebutted the claims in a note to employees, saying the company’s research had been taken out of context.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"Facebook faced both an outage and a whistle-blower. Lawmakers reached a compromise on raising the debt ceiling. And the latest number on inflation is coming this week. Facebook had a tough week. On Monday, the company’s family of apps, including Instagram, WhatsApp and Messenger, went down for more than five hours, disrupting communication for the billions of people and many advertisers who rely on them. (The company said several errors made during maintenance caused the outage). In an interview on “60 Minutes” on Sunday and in testimony at a Senate hearing on Tuesday, Frances Haugen, a former product manager at the company, talked about what she believes is a need for more oversight of the social media giant. Ms. Haugen said that Facebook had purposefully hidden research showing its products’ negative impact on teenagers and was willing to promote harmful content because it caused users to spend more time on the site. She has also spoken with top policymakers in Brussels, Britain and France. Mark Zuckerberg, Facebook’s chief executive, rebutted the claims in a note to employees, saying the company’s research had been taken out of context.",1157,True,True,0.0,0.0,0.0,1.0,-0.1,0.4
,Facebook clamps down on its internal message boards.,Technology,https://www.nytimes.com/2021/10/13/technology/facebook-workplace-transparency-leaks.html,"The social network, which has been under increased scrutiny after a former product manager turned into a whistle-blower, is trying to prevent leaks.","The social network, which has been under increased scrutiny after a former product manager turned into a whistle-blower, is trying to prevent leaks. Facebook told employees on Tuesday that it was making some of its internal online discussion groups private, in an effort to minimize leaks.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"The social network, which has been under increased scrutiny after a former product manager turned into a whistle-blower, is trying to prevent leaks. Facebook told employees on Tuesday that it was making some of its internal online discussion groups private, in an effort to minimize leaks.",289,True,True,0.0,0.0,0.0,1.0,-0.07777777777777778,0.14444444444444446
,Is Mark Zuckerberg a Man Without Principles?,Opinion,https://www.nytimes.com/2021/10/18/opinion/sway-kara-swisher-walt-mossberg.html,The veteran tech journalist Walt Mossberg unpacks the Facebook Files with historical context and personal anecdotes.,"The veteran tech journalist Walt Mossberg unpacks the Facebook Files with historical context and personal anecdotes. After leaked internal documents in The Wall Street Journal, whistle-blower testimony on Capitol Hill, a global server outage and drops in share price, Facebook has recently taken (another) spectacular beating. But the veteran tech journalist Walt Mossberg says none of it has been a surprise. A longtime friend and mentor of Kara Swisher, he tells her, “I think the company is fundamentally unethical.” And, drawing on his experience covering controversial leaders, including Steve Jobs and Bill Gates (as he calls them, “the old guard”), Mossberg says the Facebook C.E.O. is still an aberration: “In my encounters with Mark Zuckerberg, I’ve never been able to discover any principles.”",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"The veteran tech journalist Walt Mossberg unpacks the Facebook Files with historical context and personal anecdotes. After leaked internal documents in The Wall Street Journal, whistle-blower testimony on Capitol Hill, a global server outage and drops in share price, Facebook has recently taken (another) spectacular beating. But the veteran tech journalist Walt Mossberg says none of it has been a surprise. A longtime friend and mentor of Kara Swisher, he tells her, “I think the company is fundamentally unethical.” And, drawing on his experience covering controversial leaders, including Steve Jobs and Bill Gates (as he calls them, “the old guard”), Mossberg says the Facebook C.E.O. is still an aberration: “In my encounters with Mark Zuckerberg, I’ve never been able to discover any principles.”",803,True,True,0.0,0.0,0.0,1.0,0.0,0.0
,Late Night Suggests a Few New Names for Facebook,Arts,https://www.nytimes.com/2021/10/21/arts/television/stephen-colbert-facebook-name.html,Stephen Colbert proposed names like “Aunt Brenda’s Three-Paragraph Rant-a-torium” or “Best Fun Times America Website.”,"Stephen Colbert proposed names like “Aunt Brenda’s Three-Paragraph Rant-a-torium” or “Best Fun Times America Website.” Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",nyt,facebook_2021,pre_ai,nyt_facebook_2021_month,"Stephen Colbert proposed names like “Aunt Brenda’s Three-Paragraph Rant-a-torium” or “Best Fun Times America Website.” Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",304,True,True,0.0,0.0,0.0,1.0,-0.12121212121212122,0.38484848484848483
