word,pre_ai_mean,post_ai_mean,diff,abs_diff
eating,0.006262545553149094,0.0009561812133419934,-0.0053063643398071,0.0053063643398071
eating disorders,0.0033991819102258966,0.0,-0.0033991819102258966,0.0033991819102258966
echoed,0.001331129132561885,0.00027181268206074525,-0.0010593164505011397,0.0010593164505011397
economic,0.0035917103314869617,0.003740254696621517,0.00014854436513455542,0.00014854436513455542
economics,0.0005641277309459295,0.001692636155689809,0.0011285084247438797,0.0011285084247438797
economies,0.0015221585367238975,0.0,-0.0015221585367238975,0.0015221585367238975
economy,0.0036943794987682717,0.00646822282712924,0.0027738433283609684,0.0027738433283609684
ecosystem,0.0019459979713771388,0.0028203562967468575,0.0008743583253697188,0.0008743583253697188
ed,0.00172994567363359,0.002831869046827815,0.001101923373194225,0.001101923373194225
edge,0.0015154992710496025,0.00039459525402953105,-0.0011209040170200714,0.0011209040170200714
edinburgh,0.0009709327502724129,0.003361129125694998,0.002390196375422585,0.002390196375422585
edition,0.0013752168639384614,0.00403946189827267,0.0026642450343342086,0.0026642450343342086
editor,0.0050030065398704755,0.004038287732153313,-0.0009647188077171629,0.0009647188077171629
editorial,0.0013037369046745356,0.0002701111425639745,-0.0010336257621105611,0.0010336257621105611
education,0.002585493212724964,0.0040864110768165,0.0015009178640915362,0.0015009178640915362
educational,0.0011385152917063944,0.0,-0.0011385152917063944,0.0011385152917063944
edward,0.0013843495327708235,0.0002701111425639745,-0.001114238390206849,0.001114238390206849
effect,0.00567564280051095,0.0032464638098020156,-0.0024291789907089343,0.0024291789907089343
effective,0.0038896667176655823,0.0023725950125580604,-0.001517071705107522,0.001517071705107522
effectively,0.0028586232050721904,0.0035846825735219444,0.000726059368449754,0.000726059368449754
effectiveness,0.002776779755720643,0.0,-0.002776779755720643,0.002776779755720643
effects,0.005107488769703265,0.0022340774674010216,-0.0028734113023022433,0.0028734113023022433
efficiency,0.0004330418665978829,0.0034697366023177375,0.0030366947357198548,0.0030366947357198548
efficient,0.0008862787067988405,0.0004699906501244798,-0.0004162880566743607,0.0004162880566743607
effort,0.004781192451633836,0.0005587221416575356,-0.004222470309976301,0.004222470309976301
efforts,0.004221243038231811,0.0036084222759731875,-0.0006128207622586239,0.0006128207622586239
el,0.001616561869679054,0.00102189539765358,-0.0005946664720254738,0.0005946664720254738
elected,0.0019218472875264208,0.0012467776296994427,-0.0006750696578269781,0.0006750696578269781
election,0.01268603292254205,0.005008471060640211,-0.007677561861901838,0.007677561861901838
elections,0.004072459997513197,0.0010427026228685314,-0.0030297573746446652,0.0030297573746446652
electric,0.0017394051029688833,0.00039459525402953105,-0.0013448098489393522,0.0013448098489393522
electricity,0.002443259978261829,0.0036390867149044153,0.0011958267366425864,0.0011958267366425864
electronic,0.0010088191567279444,0.0025884351773492274,0.001579616020621283,0.001579616020621283
element,0.002301186882496032,0.000598102279645478,-0.0017030846028505543,0.0017030846028505543
elements,0.001431771586451684,0.0026974079933805403,0.0012656364069288564,0.0012656364069288564
elite,0.0005648025919708045,0.0013749934915585258,0.0008101908995877213,0.0008101908995877213
elites,0.0010371900726093837,0.0011270392115342025,8.984913892481883e-05,8.984913892481883e-05
elon,0.001112544909522939,0.0013015339242529451,0.00018898901473000614,0.00018898901473000614
elon musk,0.001112544909522939,0.0013015339242529451,0.00018898901473000614,0.00018898901473000614
email,0.006264723921165159,0.011270565433523826,0.005005841512358667,0.005005841512358667
email inbox,0.0009821453933129235,0.0013933402167169214,0.0004111948234039979,0.0004111948234039979
email newsletters,0.002244497344117952,0.00690970765113015,0.004665210307012198,0.004665210307012198
email stories,0.0020615467616603043,0.0,-0.0020615467616603043,0.0020615467616603043
emails,0.0020756330815834695,0.004194631163107305,0.002118998081523836,0.002118998081523836
embrace,0.0009313601037979019,0.000918354637256836,-1.300546654106594e-05,1.300546654106594e-05
emerge,0.0014802183621314413,0.00027181268206074525,-0.001208405680070696,0.001208405680070696
emerged,0.0024114670974212447,0.0003958660120621907,-0.002015601085359054,0.002015601085359054
emergency,0.00530695126389861,0.012916237020427773,0.007609285756529163,0.007609285756529163
emergency services,0.00127366603680304,0.0059834874269914596,0.004709821390188419,0.004709821390188419
emerging,0.0013840035928797594,0.0014252134356170316,4.120984273727228e-05,4.120984273727228e-05
emis,0.0,0.0026611395545963878,0.0026611395545963878,0.0026611395545963878
emissions,0.0074817630942407565,0.0011570503385213756,-0.006324712755719381,0.006324712755719381
emotional,0.0007113709581621896,0.0011569042727558921,0.00044553331459370256,0.00044553331459370256
emotions,0.0014759424517084895,0.0,-0.0014759424517084895,0.0014759424517084895
empire,0.00290367770748804,0.0016345795815556402,-0.0012690981259323997,0.0012690981259323997
employee,0.0079423671264836,0.00037305596375065015,-0.00756931116273295,0.00756931116273295
employee turned,0.0021827407610564105,0.0,-0.0021827407610564105,0.0021827407610564105
employees,0.007469447174776897,0.0028186265687795507,-0.004650820605997346,0.004650820605997346
employer,0.002603829646049112,0.0013412089980676157,-0.0012626206479814963,0.0012626206479814963
employers,0.0032143351386779814,0.0,-0.0032143351386779814,0.0032143351386779814
employment,0.0012575887120245255,0.00044369998853819193,-0.0008138887234863336,0.0008138887234863336
empowering,0.0015390077065377502,0.0006739625590933965,-0.0008650451474443537,0.0008650451474443537
en,0.00040889552977444365,0.0027838310228406123,0.0023749354930661685,0.0023749354930661685
enabled,0.0,0.003504871137736521,0.003504871137736521,0.003504871137736521
enabling,0.0008028848701314205,0.0011603944681416616,0.00035750959801024115,0.00035750959801024115
encourage,0.003247644469023445,0.0,-0.003247644469023445,0.003247644469023445
encouraged,0.0027384146471167007,0.0007833920549386157,-0.001955022592178085,0.001955022592178085
encouraging,0.001768837425022835,0.0009523681930924245,-0.0008164692319304104,0.0008164692319304104
end,0.006845132771155126,0.0065288437099159415,-0.0003162890612391847,0.0003162890612391847
ended,0.0026565228707207374,0.002660326801052995,3.803930332257552e-06,3.803930332257552e-06
ending,0.0016684723559701408,0.0013272621948683101,-0.00034121016110183065,0.00034121016110183065
ends,0.001127926659024405,0.0022842826242591954,0.0011563559652347905,0.0011563559652347905
energy,0.005755075701719856,0.0094199103008577,0.003664834599137844,0.003664834599137844
enforce,0.0019284337044520386,0.0,-0.0019284337044520386,0.0019284337044520386
enforcement,0.006719337209078865,0.0016441011877741166,-0.005075236021304748,0.005075236021304748
engage,0.0024320751418304494,0.00034268859515913493,-0.0020893865466713145,0.0020893865466713145
engaged,0.0014879453253383013,0.0013449082894020218,-0.0001430370359362795,0.0001430370359362795
engagement,0.006935874293094986,0.0009055188023811662,-0.00603035549071382,0.00603035549071382
engagement based,0.0019951289544931578,0.0,-0.0019951289544931578,0.0019951289544931578
engineer,0.001572045253071192,0.0,-0.001572045253071192,0.001572045253071192
engineering,0.004467345223252344,0.0016808858924571503,-0.0027864593307951936,0.0027864593307951936
engineers,0.003785230861566029,0.0,-0.003785230861566029,0.003785230861566029
england,0.0032183500615933823,0.013081498552390613,0.009863148490797231,0.009863148490797231
english,0.006876079427690387,0.002228223283594953,-0.004647856144095434,0.004647856144095434
english language,0.0013701841164406284,0.0017629604869126262,0.00039277637047199776,0.00039277637047199776
enjoy,0.0019463146045788388,0.0011638322919453506,-0.0007824823126334883,0.0007824823126334883
enjoying,0.0011912774687225993,0.0006231934418048156,-0.0005680840269177837,0.0005680840269177837
enormous,0.0005373472768252048,0.0017563444221239794,0.0012189971452987746,0.0012189971452987746
ensure,0.0037404959411270916,0.005257927914799733,0.0015174319736726417,0.0015174319736726417
ensuring,0.0011002527573320485,0.002221597104748013,0.0011213443474159643,0.0011213443474159643
enter,0.0019306482733665968,0.0,-0.0019306482733665968,0.0019306482733665968
enterprise,8.63975580732909e-05,0.0024321262096224,0.002345728651549109,0.002345728651549109
entertainment,0.0006988375779988655,0.0036124400039360322,0.002913602425937167,0.002913602425937167
entire,0.002077955183424386,0.002494789438179476,0.0004168342547550899,0.0004168342547550899
