,DATE,NUMARTS,COUNTS,THEMES,LOCATIONS,PERSONS,ORGANIZATIONS,TONE,CAMEOEVENTIDS,SOURCES,SOURCEURLS
44,20211207,1,,TAX_FNCACT;TAX_FNCACT_DRIVERS;MANMADE_DISASTER_IMPLIED;UNGP_FORESTS_RIVERS_OCEANS;GEN_HOLIDAY;AFFECT;DELAY;USPEC_UNCERTAINTY1;EPU_ECONOMY_HISTORIC;USPEC_POLICY1;EPU_ECONOMY;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SHORTAGE;CRISISLEX_C07_SAFETY;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TRAFFIC;TAX_FNCACT_ANALYST;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;,"1#United States#US#US#39.828175#-98.5795#US;2#New Jersey, United States#US#USNJ#40.314#-74.5089#NJ;3#San Francisco, California, United States#US#USCA#37.7749#-122.419#277593",doug madory,amazon web services;netflix;comcast;disney;charter communications,"-2.79937791601866,0.933125972006221,3.73250388802488,4.6656298600311,22.0839813374806,0.933125972006221",,bnnbloomberg.ca,https://www.bnnbloomberg.ca/amazon-packages-pile-up-as-aws-outage-spawns-delivery-havoc-1.1692398
50,20211207,1,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;SHORTAGE;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;NATURAL_DISASTER;NATURAL_DISASTER_FLOODWATERS;CRISISLEX_CRISISLEXREC;,1#United States#US#US#39.828175#-98.5795#US;1#Indonesia#ID#ID#-5#120#ID,doug madory,amazon web services;netflix;disney;associated press;kentik inc;mcdonald,"-3.49206349206349,1.58730158730159,5.07936507936508,6.66666666666667,23.1746031746032,0.317460317460317",1017860044,yorknewstimes.com,https://yorknewstimes.com/news/national/major-outage-hits-amazon-web-services-many-sites-affected/article_1db7fd0a-22d1-50a6-92ac-43617fa2e6f1.html
52,20211207,2,,,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,amazon web services;disney,"-2.57009345794393,0.934579439252336,3.50467289719626,4.4392523364486,20.7943925233645,3.73831775700935","1017885210,1017886005,1017885210,1017886005",msn.com;msn.com,https://www.msn.com/en-us/news/technology/an-amazon-server-outage-is-causing-problems-for-alexa-ring-disney-plus-and-deliveries/ar-AARzhy5<UDIV>https://www.msn.com/en-us/news/technology/an-amazon-server-outage-is-causing-problems-for-alexa-ring-disney-plus-and-deliveries/ar-AARzs5j
55,20211207,1,,GENERAL_HEALTH;MEDICAL;DELAY;USPEC_UNCERTAINTY1;CRISISLEX_C07_SAFETY;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_SPOKESWOMAN;WB_678_DIGITAL_GOVERNMENT;WB_2947_OPERATING_SYSTEMS;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA;1#United States#US#US#39.828175#-98.5795#US;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871",kristin brown;emma daniels,amazon web services;washington post;gartner;microsoft,"-4.94505494505495,0.824175824175824,5.76923076923077,6.59340659340659,18.1318681318681,0.549450549450549",,stuff.co.nz,https://www.stuff.co.nz/technology/300472735/amazons-cloudcomputing-problems-take-down-websites-services
57,20211207,1,,,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,amazon web services;disney,"-2.8328611898017,1.13314447592068,3.96600566572238,5.09915014164306,20.6798866855524,4.53257790368272","1017885210,1017886005",theverge.com,https://www.theverge.com/2021/12/7/22822332/amazon-server-aws-down-disney-plus-ring-outage
58,20211207,1,,WB_350_FINANCIAL_INFRASTRUCTURE_AND_REMITTANCES;WB_353_PAYMENT_SYSTEMS;WB_351_PAYMENT_AND_MARKET_INFRASTRUCTURE;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;USPEC_UNCERTAINTY1;AFFECT;DELAY;EPU_ECONOMY_HISTORIC;,1#United States#US#US#39.828175#-98.5795#US;1#South Korea#KS#KS#37#127.5#KS,,amazon web services;netflix;disney,"-1.22448979591837,1.22448979591837,2.44897959183673,3.6734693877551,24.4897959183673,0.816326530612245",,africatimes.com,https://africatimes.com/2021/12/07/outage-knocks-amazon-web-services-users-offline/
62,20211207,5,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT;TAX_FNCACT_RETAILER;,"2#Maine, United States#US#USME#44.6074#-69.3977#ME",,amazon web services;disney,"-1.85758513931889,1.54798761609907,3.40557275541796,4.95356037151703,21.671826625387,4.3343653250774",,koolam.com;b985.fm;92moose.fm;1019therock.com;q961.com,https://koolam.com/amazon-web-services-problem-causes-widespread-outage/<UDIV>https://b985.fm/amazon-web-services-problem-causes-widespread-outage/<UDIV>https://92moose.fm/amazon-web-services-problem-causes-widespread-outage/<UDIV>https://1019therock.com/amazon-web-services-problem-causes-widespread-outage/<UDIV>https://q961.com/amazon-web-services-problem-causes-widespread-outage/
63,20211207,2,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;SHORTAGE;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;SCIENCE;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GERMAN;UNGP_FORESTS_RIVERS_OCEANS;,1#Germany#GM#GM#51.5#10.5#GM;1#United States#US#US#39.828175#-98.5795#US,doug madory,amazon web services;netflix;disney;associated press;kentik inc;mcdonald,"-3.93939393939394,1.51515151515152,5.45454545454545,6.96969696969697,24.2424242424242,0.303030303030303","1017999715,1017999715",nwitimes.com;journalstar.com,https://www.nwitimes.com/news/national/major-outage-hits-amazon-web-services-many-sites-affected/article_2a333035-9799-535e-bdd9-2297e37a8e27.html<UDIV>https://journalstar.com/news/national/major-outage-hits-amazon-web-services-many-sites-affected/article_4b5f9f66-d241-5e4d-9070-6ea695423635.html
68,20211207,3,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;TAX_FNCACT;TAX_FNCACT_DIRECTOR;,"3#Boston, Massachusetts, United States#US#USMA#42.3584#-71.0598#617565",doug madory,amazon web services;disney;associated press;kentik inc;mcdonald,"-1.2987012987013,1.94805194805195,3.24675324675325,5.19480519480519,23.3766233766234,0.649350649350649",,expressnews.com;middletownpress.com;registercitizen.com,https://www.expressnews.com/news/article/Major-outage-hits-Amazon-Web-Services-many-sites-16682283.php<UDIV>https://www.middletownpress.com/news/article/Major-outage-hits-Amazon-Web-Services-many-sites-16682283.php<UDIV>https://www.registercitizen.com/news/article/Major-outage-hits-Amazon-Web-Services-many-sites-16682283.php
71,20211207,11,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;SHORTAGE;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;,1#United States#US#US#39.828175#-98.5795#US,doug madory,amazon web services;netflix;disney;associated press;kentik inc;mcdonald,"-4.41176470588235,1.47058823529412,5.88235294117647,7.35294117647059,25,0.367647058823529","1017860044,1017860044,1017860044,1017860044,1017860044,1017860044,1017860044,1017860044,1017860044,1017860044,1017860044",mailtribune.com;triblive.com;komu.com;wdrb.com;telegraphherald.com;wfmz.com;journalgazette.net;kake.com;times-news.com;dailyitem.com;kimt.com,https://www.mailtribune.com/happening-now/2021/12/07/many-sites-affected-by-amazon-web-services-outage/<UDIV>https://triblive.com/news/world/major-outage-hits-amazon-web-services-many-sites-affected/<UDIV>https://www.komu.com/news/nationworld/major-outage-hits-amazon-web-services-many-sites-affected/article_43941126-5788-11ec-9f9b-bb82368c1e5a.html<UDIV>https://www.wdrb.com/major-outage-hits-amazon-web-services-many-sites-affected/article_d3530136-5789-11ec-b277-bf1d5ed2939b.html<UDIV>https://www.telegraphherald.com/news/national_world/article_70afe3b5-e029-5bd9-892e-aae8a2db657d.html<UDIV>https://www.wfmz.com/news/us/major-outage-hits-amazon-web-services-many-sites-affected/article_4329b21b-54d5-5a78-ae99-d8bb3fe8922a.html<UDIV>https://www.journalgazette.net/article/20211207/WEB/211209879<UDIV>https://www.kake.com/story/45390916/major-outage-hits-amazon-web-services-many-sites-affected<UDIV>https://www.times-news.com/news/major-outage-hits-amazon-web-services-many-sites-affected/article_813a476e-578a-11ec-82d8-73b25e95d34b.html<UDIV>https://www.dailyitem.com/news/major-outage-hits-amazon-web-services-many-sites-affected/article_c1c1e20e-5791-11ec-ae59-c733570e8cba.html<UDIV>https://www.kimt.com/content/news/Major-outage-hits-Amazon-Web-Services-many-sites-affected-575877301.html
