,DATE,NUMARTS,COUNTS,THEMES,LOCATIONS,PERSONS,ORGANIZATIONS,TONE,CAMEOEVENTIDS,SOURCES,SOURCEURLS
443,20211208,1,,,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA;1#United States#US#US#39.828175#-98.5795#US",,service health dashboard;amazon web services;amazon web services us-east;twitter;associated press;infrastructure security agency;netflix;disney,"-3.30188679245283,2.35849056603774,5.66037735849057,8.0188679245283,20.2830188679245,0.471698113207547",,businesstoday.in,https://www.businesstoday.in/technology/story/amazon-cloud-outage-hits-netflix-and-display-what-we-know-so-far-314798-2021-12-08
445,20211208,1,"AFFECT#20#apps#2#California, United States#US#USCA#36.17#-119.746#CA;",TAX_FNCACT;TAX_FNCACT_DRIVERS;MEDIA_MSM;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_SPOKESPERSON;AFFECT;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;SHORTAGE;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;WB_678_DIGITAL_GOVERNMENT;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;MANMADE_DISASTER_IMPLIED;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DRIVER;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;2#New Jersey, United States#US#USNJ#40.314#-74.5089#NJ;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK;2#California, United States#US#USCA#36.17#-119.746#CA;3#Los Angeles, California, United States#US#USCA#34.0522#-118.244#1662328;3#Robbinsville, New Jersey, United States#US#USNJ#40.2146#-74.6193#879732",brian parrish;andy jassy;morgan durrant;doug madory;richard rocha;carl malamud;scott vazin,google;instagram;los angeles times;amazon web services;toyota;associated press;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.55974842767296,1.02201257861635,5.58176100628931,6.60377358490566,21.4622641509434,0.393081761006289",,dailymail.co.uk,https://www.dailymail.co.uk/news/article-10288257/Amazon-regrouping-AWS-outage-wreaked-havoc-drivers-warehouses.html
447,20211208,1,"AFFECT#1#Amazon US East#2#New York, United States#US#USNY#42.1497#-74.9384#NY;",WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_1160_SHOCKS_AND_VULNERABILITY;WB_695_POVERTY;CRIME_COMMON_ROBBERY;TAX_FNCACT;TAX_FNCACT_THIEVES;DELAY;MEDIA_MSM;TAX_FNCACT_SPOKESPERSON;AFFECT;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FOODSTAPLES;TAX_FOODSTAPLES_EGGS;CYBER_ATTACK;WB_670_ICT_SECURITY;TAX_FNCACT_LECTURER;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;UNGP_FORESTS_RIVERS_OCEANS;SHORTAGE;MEDIA_SOCIAL;TAX_FNCACT_EVANGELIST;WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES;WB_590_ECOSYSTEMS;TAX_DISEASE;TAX_DISEASE_DISRUPTIVE;INTERNET_BLACKOUT;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;EPU_ECONOMY_HISTORIC;CRISISLEX_C07_SAFETY;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;EPU_CATS_NATIONAL_SECURITY;TAX_FNCACT_MANAGER;EPU_CATS_MIGRATION_FEAR_MIGRATION;TRANSPARENCY;PROTEST;TAX_FNCACT_WRITER;TAX_FNCACT_MERCHANT;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;3#Boston, Massachusetts, United States#US#USMA#42.3584#-71.0598#617565;1#United Kingdom#UK#UK#54#-4#UK",andy jassy;sean obrien;richard rocha;jeff bezos;servaas verbiest;steven senne,google;instagram;yale law school;amazon web services;ibm;associated press;microsoft;gartner;facebook;sungard availability services;akamai;oracle;cnn;new york times;netflix;disney;national security agency,"-4.25531914893617,1.06382978723404,5.31914893617021,6.38297872340426,20.2127659574468,0.709219858156028","1018201760,1018105590,1018202638",abqjournal.com,https://www.abqjournal.com/2452624/explainer-what-caused-amazons-outage-will-there-be-more.html
450,20211208,6,,WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT;TAX_FNCACT_WORKERS;TAX_FNCACT_DRIVERS;MEDIA_MSM;GENERAL_HEALTH;MEDICAL;CRISISLEX_C03_WELLBEING_HEALTH;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;UNREST_BELLIGERENT;UNREST_ULTIMATUM;SHORTAGE;AFFECT;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_DOG;TAX_FNCACT_EMPLOYEES;TAX_FOODSTAPLES;TAX_FOODSTAPLES_EGGS;GEN_HOLIDAY;SCIENCE;SOC_INNOVATION;SOC_GENERALCRIME;EPU_CATS_MIGRATION_FEAR_FEAR;,1#United States#US#US#39.828175#-98.5795#US,,lamborghini;amazon web services;disney;harvard medical school;yougov;mcdonald;johnson johnson,"-1.70068027210884,2.89115646258503,4.59183673469388,7.48299319727891,22.7891156462585,1.70068027210884","1018044022,1018044022,1018044022,1018044022,1018044022,1018044022",973thedawg.com;knue.com;999ktdy.com;1079ishot.com;kpel965.com;wtbdfm.com,https://973thedawg.com/amazon-outage-causing-problems-globally/<UDIV>https://knue.com/amazon-outage-causing-problems-globally/<UDIV>https://999ktdy.com/amazon-outage-causing-problems-globally/<UDIV>https://1079ishot.com/amazon-outage-causing-problems-globally/<UDIV>https://kpel965.com/amazon-outage-causing-problems-globally/<UDIV>https://wtbdfm.com/amazon-outage-causing-problems-globally/
451,20211208,2,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;MANMADE_DISASTER_IMPLIED;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SHORTAGE;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"1#United States#US#US#39.828175#-98.5795#US;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;morgan durrant;doug madory;richard rocha;carl malamud;scott vazin,amazon web services;toyota;associated press;jetblue;kentik inc;exchange commission;delta air lines;infrastructure security agency;netflix;disney;facebook;mcdonald,"-3.51437699680511,1.75718849840256,5.27156549520767,7.02875399361022,21.0862619808307,0.798722044728434","1018058301,1018040396,1018036643,1018040437,1018036680,1018040439,1018036683,1018041266,1018037801,1018038101,1018059102,1018058301,1018040396,1018036643,1018040437,1018036680,1018040439,1018036683,1018041266,1018037801,1018038101,1018059102",asianage.com;deccanchronicle.com,https://www.asianage.com:443/technology/in-other-news/081221/major-outage-hits-amazon-web-services-many-sites-affected.html<UDIV>http://www.deccanchronicle.com/technology/in-other-news/081221/major-outage-hits-amazon-web-services-many-sites-affected.html
452,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;MANMADE_DISASTER_IMPLIED;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;doug madory;richard rocha;jeff bezos;morgan durrant;andy jassy;frank bajak;carl malamud;scott vazin,google;instagram;amazon web services;toyota;associated press;microsoft;barbara ortutay associated;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.25790754257908,1.09489051094891,5.35279805352798,6.44768856447689,21.4111922141119,0.608272506082725","1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318",cumberlink.com,https://cumberlink.com/news/state-and-regional/major-outage-at-amazon-disrupts-businesses-across-the-us/article_9dcb3b06-b377-5ef7-a74f-2a9233f13c20.html
454,20211208,1,,TAX_FNCACT;TAX_FNCACT_DRIVERS;MANMADE_DISASTER_IMPLIED;GEN_HOLIDAY;AFFECT;DELAY;USPEC_UNCERTAINTY1;EPU_ECONOMY_HISTORIC;CRISISLEX_CRISISLEXREC;TAX_ECON_PRICE;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SHORTAGE;TAX_FNCACT_DIRECTORS;TAX_FNCACT_ART_DIRECTORS;TAX_FNCACT_SUPPORTERS;TAX_FNCACT_WORKERS;PROTEST;WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES;WB_829_FISCAL_DECENTRALIZATION;WB_874_LOCAL_FINANCE;WB_877_ASSET_MANAGEMENT;WB_445_FISCAL_POLICY;TRANSPARENCY;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;ECON_MONOPOLY;EPU_CATS_REGULATION;ENV_CLIMATECHANGE;UNGP_CLIMATE_CHANGE_ACTION;UNSAFE_WORK_ENVIRONMENT;WB_2670_JOBS;WB_2769_JOBS_STRATEGIES;WB_2788_LABOR_MARKET_INSTITUTIONS_AND_POLICIES;WB_2802_WORKING_CONDITIONS;LEGISLATION;USPEC_POLITICS_GENERAL1;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_LEGISLATION;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;WB_772_TRADE_FACILITATION_AND_LOGISTICS;WB_2595_ANTI_CORRUPTION_IN_CUSTOMS_ADMINISTRATION;WB_698_TRADE;WB_774_CUSTOMS_AND_BORDER_MANAGEMENT;WB_2600_PERFORMANCE_METRICS;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TRAFFIC;TAX_FNCACT_ANALYST;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;,"2#California, United States#US#USCA#36.17#-119.746#CA;1#United States#US#US#39.828175#-98.5795#US;3#Santa Monica, California, United States#US#USCA#34.0195#-118.491#1652792;3#San Francisco, California, United States#US#USCA#37.7749#-122.419#277593",mel melcon los angeles;los angeles;doug madory;ron allen,fidelity investments;amazon web services;art directors guild;charter communications;netflix;disney;comcast;pizza hut,"-2.31990231990232,1.22100122100122,3.54090354090354,4.76190476190476,21.7338217338217,0.488400488400488",,latimes.com,https://www.latimes.com/business/story/2021-12-07/amazon-awc-outage-delivery-problems
455,20211208,1,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SHORTAGE;AFFECT;TAX_ECON_PRICE;CRISISLEX_C07_SAFETY;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;,1#United States#US#US#39.828175#-98.5795#US,,amazon web services;walt disney co;netflix;disney;charter communications inc;comcast corp;mcdonald,"-4.48275862068965,0.689655172413793,5.17241379310345,5.86206896551724,18.2758620689655,0.344827586206897",,bnnbloomberg.ca,https://www.bnnbloomberg.ca/amazon-says-it-resolved-network-device-issue-that-caused-outage-1.1692628
456,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,MANMADE_DISASTER_IMPLIED;URBAN;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;TAX_FNCACT_DRIVERS;SOC_POINTSOFINTEREST_HEADQUARTERS;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;ted s warren;doug madory;richard rocha;jeff bezos;damian dovarganes;morgan durrant;andy jassy;carl malamud;scott vazin,google;instagram;amazon web services;toyota;associated press;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.19520547945206,1.1986301369863,5.39383561643836,6.59246575342466,22.8595890410959,0.428082191780822","1018076690,1018076703,1018076704,1018076705,1018076710,1018037801,1018077318",cnc3.co.tt,https://www.cnc3.co.tt/major-outage-at-amazon-disrupts-businesses-across-the-us/
459,20211208,2,,TAX_FNCACT;TAX_FNCACT_ENGINEERS;ECON_STOCKMARKET;WB_698_TRADE;ECON_BITCOIN;AFFECT;DELAY;USPEC_UNCERTAINTY1;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA",,seller center;amazon web services;amazon web service;netflix;disney,"-0.581395348837209,1.74418604651163,2.32558139534884,4.06976744186047,24.4186046511628,1.74418604651163",,msn.com;msn.com,http://www.msn.com/en-us/news/technology/amazon-says-many-services-restored-after-outage-disrupts-disney-netflix-slack/ar-AARziyx<UDIV>http://www.msn.com/en-us/news/us/disney-netflix-slack-among-services-affected-by-amazon-web-services-outage/ar-AARziyx
460,20211208,1,AFFECT#20#apps#1#United States#US#US#39.828175#-98.5795#US;,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;AFFECT;TAX_FNCACT;TAX_FNCACT_DIRECTOR;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;MANMADE_DISASTER_IMPLIED;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SHORTAGE;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;EPU_ECONOMY_HISTORIC;TECH_AUTOMATION;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;CRISISLEX_C07_SAFETY;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;CYBER_ATTACK;WB_670_ICT_SECURITY;,"1#United States#US#US#39.828175#-98.5795#US;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;morgan durrant;doug madory;richard rocha;carl malamud;scott vazin,amazon web services;toyota;associated press;jetblue;kentik inc;exchange commission;delta air lines;infrastructure security agency;netflix;disney;facebook;mcdonald,"-3.64842454394693,1.82421227197347,5.4726368159204,7.29684908789386,21.8905472636816,1.65837479270315","1018058301,1018036643,1018036680,1018036683,1018037801,1018038102,1018059102",deccanherald.com,https://www.deccanherald.com/business/business-news/major-outage-hits-amazon-web-services-many-sites-affected-1058696.html
461,20211208,1,,GENERAL_HEALTH;MEDICAL;DELAY;USPEC_UNCERTAINTY1;CRISISLEX_C07_SAFETY;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_SPOKESWOMAN;TAX_FNCACT_FOUNDER;WB_678_DIGITAL_GOVERNMENT;WB_2947_OPERATING_SYSTEMS;WB_667_ICT_INFRASTRUCTURE;WB_669_SOFTWARE_INFRASTRUCTURE;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;,"2#Virginia, United States#US#USVA#37.768#-78.2057#VA;1#United States#US#US#39.828175#-98.5795#US;2#Washington, United States#US#USWA#47.3917#-121.571#WA;3#Seattle, Washington, United States#US#USWA#47.6062#-122.332#1512650",kristin brown;jeff bezos;emma daniels,amazon web services;washington post;gartner;microsoft,"-5.10752688172043,0.806451612903226,5.91397849462366,6.72043010752688,18.010752688172,0.268817204301075",,texarkanagazette.com,https://www.texarkanagazette.com/news/2021/dec/07/amazons-cloud-computing-unit-problems-take-down/
463,20211208,1,"AFFECT#20#apps#2#Alaska, United States#US#USAK#61.385#-152.268#AK;",WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EPU_ECONOMY_HISTORIC;AFFECT;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;TAX_FNCACT_CEO;TAX_FNCACT_FOUNDER;TAX_FNCACT_TECHNOLOGIST;PROTEST;MOVEMENT_GENERAL;TAX_FNCACT_ACTIVIST;CRISISLEX_CRISISLEXREC;MEDIA_SOCIAL;MEDIA_MSM;WB_669_SOFTWARE_INFRASTRUCTURE;WB_2945_DATABASE;SHORTAGE;TAX_FNCACT_DISTRIBUTOR;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_FNCACT_DIRECTOR;MANMADE_DISASTER_IMPLIED;SOC_EXPRESSREGRET;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_672_NETWORK_MANAGEMENT;TAX_FNCACT_SPOKESMAN;TAX_FNCACT_DEALER;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;TECH_AUTOMATION;CYBER_ATTACK;WB_670_ICT_SECURITY;CRISISLEX_C07_SAFETY;,"2#New York, United States#US#USNY#42.1497#-74.9384#NY;1#United States#US#US#39.828175#-98.5795#US;1#United Kingdom#UK#UK#54#-4#UK;3#Washington, Washington, United States#US#USDC#38.8951#-77.0364#531871;2#Alaska, United States#US#USAK#61.385#-152.268#AK",brian parrish;doug madory;richard rocha;jeff bezos;morgan durrant;andy jassy;carl malamud;scott vazin,google;instagram;amazon web services;toyota;associated press;microsoft;facebook;mcdonald;synergy research;jetblue;kentik inc;cnn;united states;exchange commission;delta air lines;new york times;infrastructure security agency;netflix;disney,"-4.63733650416171,1.07015457788347,5.70749108204518,6.77764565992866,21.0463733650416,0.594530321046373","1018076690,1018076703,1018076705,1018076710,1018037801,1018077318",wcnc.com,https://www.wcnc.com/article/news/nation-world/major-outage-amazon-web-services/507-cb381148-3576-4976-8638-98ee86292fa6
464,20211208,1,,AFFECT;WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;TAX_FNCACT;TAX_FNCACT_DIRECTOR;EPU_CATS_REGULATION;WB_694_BROADCAST_AND_MEDIA;MEDIA_MSM;TAX_FNCACT_REPORTER;MEDIA_SOCIAL;GEN_HOLIDAY;SCIENCE;SOC_INNOVATION;,"2#New Jersey, United States#US#USNJ#40.314#-74.5089#NJ",dan alexander;doug madory,amazon web services;motor vehicle commission;disney;associated press;kentik inc,"2.73972602739726,5.47945205479452,2.73972602739726,8.21917808219178,24.9315068493151,1.36986301369863",,wobm.com,https://wobm.com/nj-mvc-on-the-list-impacted-by-amazon-web-services-outage/
466,20211208,1,,WB_678_DIGITAL_GOVERNMENT;WB_674_SHARED_INFRASTRUCTURE;WB_667_ICT_INFRASTRUCTURE;WB_676_CLOUD_COMPUTING;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT;TAX_FNCACT_ENGINEER;,"1#South Africa#SF#SF#-30#26#SF;4#Cape Town, Western Cape, South Africa#SF#SF11#-33.9167#18.4167#-1217214",,amazon web services;amazon web service,"0,0.540540540540541,0.540540540540541,1.08108108108108,27.027027027027,0",,wn.com,https://article.wn.com/view/2021/12/08/Major_outage_at_Amazon_disrupts_businesses_across_the_US_2f/
