word,pre_ai_mean,post_ai_mean,diff,abs_diff
academic,0.004018277459650819,0.0021104652708410377,-0.0019078121888097812,0.0019078121888097812
academics,0.001839620443114148,0.0006637744082384334,-0.0011758460348757147,0.0011758460348757147
accept,0.0014577545575648462,0.0019730835161716376,0.0005153289586067914,0.0005153289586067914
accepted,0.0026963764290240905,0.001403973378945823,-0.0012924030500782674,0.0012924030500782674
access,0.012627306931179168,0.008151550735875996,-0.004475756195303172,0.004475756195303172
accessible,0.0006830907768588924,0.0009802853961713176,0.0002971946193124251,0.0002971946193124251
accessing,0.0023839606239191005,0.0014522668696326628,-0.0009316937542864377,0.0009316937542864377
accident,0.0017652540966076337,0.0039986302152076126,0.002233376118599979,0.002233376118599979
accidentally,0.00192224264499994,0.0003294877083728911,-0.001592754936627049,0.001592754936627049
accommodation,0.001013731587901682,0.002431878296003864,0.001418146708102182,0.001418146708102182
according,0.009279178722140725,0.011212997166392654,0.001933818444251929,0.001933818444251929
according downdetector,0.0007123924189848159,0.00263512675055581,0.0019227343315709941,0.0019227343315709941
according new,0.000523082577477735,0.0010827622421682866,0.0005596796646905516,0.0005596796646905516
account,0.012000072060697945,0.0031349114457103503,-0.008865160614987596,0.008865160614987596
accountable,0.0029790822863453442,0.0001502379664631654,-0.002828844319882179,0.002828844319882179
accounting,0.0014541984509465796,0.001153970357248049,-0.00030022809369853053,0.00030022809369853053
accounts,0.009907063214445193,0.003083239941289071,-0.006823823273156122,0.006823823273156122
accuracy,0.00025189194288166886,0.0013459344708289303,0.0010940425279472614,0.0010940425279472614
accusations,0.0013653625412442037,0.0008418972819368086,-0.0005234652593073951,0.0005234652593073951
accused,0.006567457444138489,0.0024787569539132656,-0.004088700490225223,0.004088700490225223
accusing,0.0011613593007746364,0.0017706877695859349,0.0006093284688112985,0.0006093284688112985
achieve,0.001391435385475271,0.0006532656422209579,-0.000738169743254313,0.000738169743254313
achieved,0.0,0.00162045803321811,0.00162045803321811,0.00162045803321811
acknowledge,0.0007941455391742735,0.0006326069812438705,-0.00016153855793040297,0.00016153855793040297
acknowledged,0.002112652683320446,0.0007592013186373524,-0.0013534513646830935,0.0013534513646830935
act,0.004928507611899132,0.0049617814674598444,3.3273855560712016e-05,3.3273855560712016e-05
acting,0.003667144655932185,0.0022177359481010306,-0.0014494087078311545,0.0014494087078311545
action,0.00945472914786088,0.004594445964497808,-0.004860283183363072,0.004860283183363072
actions,0.0027593643917154112,0.0028084398058512306,4.9075414135819374e-05,4.9075414135819374e-05
activated,0.0009598197162104583,0.0012977492462272768,0.00033792953001681846,0.00033792953001681846
active,0.0016373576736927508,0.0009426172937833545,-0.0006947403799093963,0.0006947403799093963
actively,0.003058810879604874,0.000970179801456981,-0.002088631078147893,0.002088631078147893
activism,0.003115386793642584,0.0002809009427858288,-0.002834485850856755,0.002834485850856755
activist,0.005450824629023062,0.00033383821991180083,-0.005116986409111261,0.005116986409111261
activists,0.005349893261801174,0.0019227714227125227,-0.0034271218390886514,0.0034271218390886514
activities,0.0027357111796790317,0.0010822766652873726,-0.0016534345143916591,0.0016534345143916591
activity,0.005522591648983255,0.002769828024662047,-0.0027527636243212077,0.0027527636243212077
actor,0.004394488318523584,0.0011230379407081987,-0.003271450377815385,0.003271450377815385
actors,0.002755931322399518,0.0033371854509430857,0.0005812541285435675,0.0005812541285435675
acts,0.0005512760173317859,0.0013445778650908106,0.0007933018477590247,0.0007933018477590247
actual,0.00356929556931014,0.0013418044509044742,-0.0022274911184056658,0.0022274911184056658
actually,0.007545913423276042,0.0035411206166143534,-0.004004792806661689,0.004004792806661689
ad,0.005941877028177439,0.002813313346600697,-0.0031285636815767417,0.0031285636815767417
adam,0.002042694222357169,0.0008703723526905725,-0.0011723218696665966,0.0011723218696665966
add,0.006408756382099093,0.0019114099089796257,-0.0044973464731194665,0.0044973464731194665
added,0.005262953237909583,0.007974129424071146,0.0027111761861615628,0.0027111761861615628
adding,0.005305957993327567,0.004524287607708503,-0.0007816703856190635,0.0007816703856190635
addition,0.0011323698733481861,0.001574627475664257,0.00044225760231607087,0.00044225760231607087
additional,0.0009426776749434805,0.003455494955148951,0.0025128172802054705,0.0025128172802054705
address,0.0033100551467627128,0.003014683946269777,-0.0002953712004929356,0.0002953712004929356
