pub_datetime_utc,headline,snippet_or_abstract,lead_paragraph,web_url,section,byline,likely_outage
2021-10-22 22:24:16+00:00,"Internal Alarm, Public Shrugs: Facebook’s Employees Dissect Its Election Role",Company documents show that the social network’s employees repeatedly raised red flags about the spread of misinformation and conspiracies before and after the contested November vote.,"Sixteen months before last November’s presidential election, a researcher at Facebook described an alarming development. She was getting content about the conspiracy theory QAnon within a week of opening an experimental account, she wrote in an internal report.",https://www.nytimes.com/2021/10/22/technology/facebook-election-misinformation.html,Technology,By Ryan Mac and Sheera Frenkel,False
2021-10-23 19:46:49+00:00,"In India, Facebook Grapples With an Amplified Version of Its Problems","Internal documents show a struggle with misinformation, hate speech and celebrations of violence in the country, the company’s biggest market.","On Feb. 4, 2019, a Facebook researcher created a new user account to see what it was like to experience the social media site as a person living in Kerala, India.",https://www.nytimes.com/2021/10/23/technology/facebook-india-misinformation.html,Technology,By Sheera Frenkel and Davey Alba,False
2021-10-25 00:05:07+00:00,Inside the Big Facebook Leak,"In a time of mega-leaks, journalists’ sources have become power players. Frances Haugen, the former Facebook product manager who shared company documents, led a meticulous media rollout.","Frances Haugen first met Jeff Horwitz, a tech-industry reporter for The Wall Street Journal, early last December on a hiking trail near the Chabot Space & Science Center in Oakland, Calif.",https://www.nytimes.com/2021/10/24/business/media/facebook-leak-frances-haugen.html,Business Day,By Ben Smith,False
2021-10-25 10:11:43+00:00,Facebook Whistle-Blower Brings Campaign to Europe After Disclosures,"Beginning a European tour in Britain, the former Facebook manager was questioned by policymakers drafting tougher tech regulations.","LONDON — Facebook has lurched from controversy to controversy since Mark Zuckerberg started it as a Harvard undergrad in 2004. But the actions of Frances Haugen, a former product manager, have created a backlash and public relations crisis that stand apart.",https://www.nytimes.com/2021/10/25/business/frances-haugen-facebook.html,Business Day,By Adam Satariano and Mike Isaac,False
2021-10-25 11:01:08+00:00,Facebook Wrestles With the Features It Used to Define Social Networking,"Likes and shares made the social media site what it is. Now, company documents show, it’s struggling to deal with their effects.","SAN FRANCISCO — In 2019, Facebook researchers began a new study of one of the social network’s foundational features: the Like button.",https://www.nytimes.com/2021/10/25/technology/facebook-like-share-buttons.html,Technology,By Mike Isaac,False
2021-10-25 11:05:05+00:00,The Facebook Papers and their fallout.,A look at a month of scrutiny and struggles for the social-networking giant.,"For weeks, Facebook has been shaken by revelations that have ignited a firestorm of criticism from lawmakers, regulators and the public.",https://www.nytimes.com/2021/10/25/business/facebook-papers-takeaways.html,Business Day,By The New York Times,False
2021-10-25 20:44:24+00:00,Facebook’s profit jumps 17 percent.,The results in the latest quarter are a sign of the company’s financial strength as it faces a public relations crisis.,"Facebook said on Monday that revenue rose 35 percent to $29 billion in the three months ending in September compared with the same period last year, while profit rose 17 percent to $9.2 billion, a sign of the social network’s financial strength as it faces a public relations crisis over troubling disclosures made by a former employee.",https://www.nytimes.com/2021/10/25/technology/facebook-profits-earnings-q3-2021.html,Technology,By Mike Isaac,False
2021-10-25 22:04:11+00:00,"Budget, Facebook, Sudan: Your Monday Evening Briefing",Here’s what you need to know at the end of the day.,(Want to get this newsletter in your inbox? Here’s the sign-up.),https://www.nytimes.com/2021/10/25/briefing/budget-facebook-sudan-your-monday-evening-briefing.html,Briefing,By Victoria Shannon,False
2021-10-26 07:00:13+00:00,Facebook Faces a Public Relations Crisis. What About a Legal One?,One of the most pressing questions is whether the Securities and Exchange Commission will significantly add to the company’s woes.,"WASHINGTON — In recent weeks, Facebook’s stock has fallen roughly 5 percent, shaving billions off its market value. Lawmakers have introduced laws that could weaken the company’s legal protections. Shareholders filed a resolution to dilute the power of its chief executive, Mark Zuckerberg.",https://www.nytimes.com/2021/10/26/technology/facebook-sec-complaints.html,Technology,By Cecilia Kang,False
2021-10-26 16:11:21+00:00,Facebook Wants the Young People Back,The social media giant is making bonkers money. But it aims to turn itself inside out to get more young people.,This article is part of the On Tech newsletter. Here is a collection of past columns.,https://www.nytimes.com/2021/10/26/technology/facebook-young-people.html,Technology,By Shira Ovide,False
2021-10-26 20:25:30+00:00,Beyond Zuckerberg,The Facebook C.E.O. personifies the company’s woes. Is it time for someone new?,Let’s just cut to the chase: Who’s going to replace Mark Zuckerberg as C.E.O. of Facebook?,https://www.nytimes.com/2021/10/26/opinion/zuckerberg-facebook-ceo.html,Opinion,By Kara Swisher,False
2021-10-26 21:12:01+00:00,"Face It, Facebook Won’t Change Unless Advertisers Demand It","Revelations aside, there’s only one thing that will get the company to change its ways.","Facebook has endured one of the most punishing stretches of corporate coverage in recent memory, exposing its immense power and blithe disregard for its deleterious impacts.",https://www.nytimes.com/2021/10/26/opinion/facebook-advertisers.html,Opinion,By Greg Bensinger,False
2021-10-27 06:20:39+00:00,Jimmy Kimmel Misses the Old Facebook,Kimmel reminisced about the days when the social media app was “just a safe place to lose your house in a pyramid scheme.”,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",https://www.nytimes.com/2021/10/27/arts/television/jimmy-kimmel-facebook.html,Arts,By Trish Bendix,False
2021-10-27 09:00:15+00:00,Facebook Is Bad. Fixing It Rashly Could Make It Much Worse.,Lawmakers should proceed cautiously when altering the rules governing the internet.,"The nicest thing you can say about the Health Misinformation Act, proposed in July by the Democratic senators Amy Klobuchar and Ben Ray Luján, is that it means well. The internet has been a key accelerant of widespread myths, misunderstandings and lies related to Covid-19; Klobuchar and Luján’s bill would force online companies like Facebook to crack down on false information during public health emergencies, or lose immunity from lawsuits if they don’t.",https://www.nytimes.com/2021/10/27/opinion/facebook-regulation-section-230.html,Opinion,By Farhad Manjoo,False
2021-10-27 16:46:30+00:00,"Facebook, Show Us the Mess",Candid looks at the inner workings of influential tech companies shouldn’t be so rare.,This article is part of the On Tech newsletter. Here is a collection of past columns.,https://www.nytimes.com/2021/10/27/technology/facebook-transparency.html,Technology,By Shira Ovide,False
2021-10-27 18:43:37+00:00,Facebook tells employees to preserve all communications for legal reasons.,The move follows intense scrutiny after a whistle-blower provided documents about the social network’s inner workings.,"Facebook has told employees to “preserve internal documents and communications since 2016” that pertain to its businesses because governments and legislative bodies have started inquiries into its operations, according to a company email sent on Tuesday night.",https://www.nytimes.com/2021/10/27/technology/facebook-legal-communications.html,Technology,By Ryan Mac and Mike Isaac,False
2021-10-28 16:34:37+00:00,Google and Facebook’s Ad Empires,The tech giants talk a lot about the “metaverse” and cloud computing. What really powers them is selling us socks.,This article is part of the On Tech newsletter. Here is a collection of past columns.,https://www.nytimes.com/2021/10/28/technology/google-facebook-advertising.html,Technology,By Shira Ovide,False
2021-10-28 18:22:59+00:00,Facebook Renames Itself Meta,"The social network, under fire for spreading misinformation and other issues, said the change was part of its bet on a next digital frontier called the metaverse.",SAN FRANCISCO — Facebook rose to prominence over the past two decades with some of the world’s most recognizable branding: a big blue-and-white letter F.,https://www.nytimes.com/2021/10/28/technology/facebook-meta-name-change.html,Technology,By Mike Isaac,False
2021-10-29 09:00:25+00:00,The Metaverse Is Mark Zuckerberg’s Escape Hatch,If his new strategy works — a big if — it could help address several of Facebook’s biggest problems.,"When Mark Zuckerberg appeared onscreen at Facebook’s virtual Connect conference on Thursday, smiling as he wandered through sterile rooms filled with midcentury modern furniture, he looked like a man unburdened.",https://www.nytimes.com/2021/10/29/technology/meta-facebook-zuckerberg.html,Technology,By Kevin Roose,False
2021-10-29 11:21:00+00:00,Could a New Name Help Facebook After All?,There is evidence the change to Meta is more than window dressing.,"Yesterday, Facebook announced it would rebrand itself as Meta. The company will begin trading under the ticker MVRS on Dec. 1. It’s a clear move by the founder Mark Zuckerberg to de-emphasize the company’s most successful product and reorient itself around a vision of a virtual-reality enabled future that Meta’s own executives admit, based on today’s technology, can’t yet exist.",https://www.nytimes.com/2021/10/29/business/dealbook/facebook-meta-rebranding.html,Business Day,"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",False
2021-10-29 22:02:13+00:00,Mark Zuckerberg Got a Bit Meta in His Meta Presentation,"For those watching closely, his 80-minute video announcing Facebook’s rebrand delivered some self-referential jokes.","Amid a massive company pivot, a monthlong press cycle and increasing calls for regulation, Mark Zuckerberg wants everyone to know he has a sense of humor.",https://www.nytimes.com/2021/10/29/style/mark-zuckerberg-meta-jokes.html,Style,By Ryan Mac,False
2021-10-31 11:00:08+00:00,The Week in Business: From Facebook to Meta,"Last week, Tesla reached a $1 trillion market valuation, a milestone that has only been passed by five other companies. This week: The Fed may announce plans to start to taper its bond purchases. ","Last week, more than a dozen news organizations published reports based on a trove of Facebook’s internal documents leaked by a former product manager. The documents detail what Facebook knew about its role in radicalizing users, employees’ questions about the impact of its core features, and its struggles to curb dangerous content internationally. The former Facebook employee-turned-whistle-blower, Frances Haugen, has appeared on “60 Minutes,” in front of Congress, and — this past week — in Britain’s Parliament to argue that the company puts profits before people. (Facebook has said that it has millions of documents that counter those shared by Ms. Haugen). Whistle-blowers have filed at least nine complaints against Facebook with the Securities and Exchange Commission based on internal documents. On Thursday, Facebook changed its name to Meta.",https://www.nytimes.com/2021/10/31/business/the-week-in-business.html,Business Day,By Sarah Kessler,False
